family,setting,mode,controller,seed,episodes,obs_noise,action_noise,delay,dropout,outlier_prob,excitation_scale,dither,forgetting,window,event_scale,scale_floor,fallback_cond,success,success_stderr,final_error,tail_error,path_efficiency,total_command,calibration_error,condition,excitation,overshoot_rate,event_count,peak_event_error,recovery_steps,initial_to_final_drift
F,event1.45,abrupt_bump,calibration_state,292000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.45,0.45,,1.0,0.0,0.0012039405839265644,0.036892615970736814,0.15417784412280183,4.417858283680914,0.5670468131649076,1.710367081225921,0.00021662284035071932,0.07968750000000001,3.0,0.07417290395380635,1.0416666666666667,1.284304537086475
F,event1.45,abrupt_bump,oracle,290000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.45,0.45,,0.875,0.11692679333668567,0.03590786867714063,0.07451168875875788,0.15354541252574982,4.329047190899123,0.0,2.204167871113886,0.00010202231139739694,0.10468749999999999,3.0,0.06704346452532493,0.8333333333333333,1.2405207397314526
F,event1.45,abrupt_bump,oracle,291000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.45,0.45,,1.0,0.0,0.0014606148811911626,0.038765286422788835,0.26761103649838286,3.806080673263967,0.0,1.871713279990197,3.212787586049382e-05,0.084375,3.0,0.06802088527726192,0.8333333333333334,1.5348323298914845
F,event1.45,abrupt_bump,oracle,292000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,1.45,0.45,,1.0,0.0,0.0010921323296697392,0.021496034680965323,0.16509802237559096,4.149147268234354,0.0,1.841813429401915,9.513159468589346e-05,0.0875,3.0,0.0746947568828416,0.9166666666666666,1.284304537086475
F,event0.55,late_bump,frozen_start_calibration,290000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,0.55,0.45,,1.0,0.0,0.007881816148925459,0.05776637697375256,0.22814868209682276,3.208195479155604,0.7262696300059812,1.209316857512808,6.320800960838747e-05,0.0,1.0,0.001893791858586459,0.0,0.7357350243411024
F,event0.55,late_bump,frozen_start_calibration,291000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,0.55,0.45,,1.0,0.0,0.0018974589209398843,0.027066379164166647,0.2509764721365,3.1901391796613376,0.4431219877927285,1.1009321026380103,3.4987828248059854e-05,0.0,1.0,0.001473088976216696,0.0,0.4460490899665568
F,event0.55,late_bump,frozen_start_calibration,292000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,0.55,0.45,,0.875,0.11692679333668567,0.06040902643578138,0.14941943388292533,0.2117332318955366,3.589193769800829,0.4725212369643149,1.1180631012357718,2.134848295068066e-05,0.0,1.0,0.18539600357776062,2.875,0.476758291402156
F,event0.55,late_bump,windowed_sysid,290000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,0.55,0.45,,1.0,0.0,0.017316454836077525,0.008263625455744897,0.20263077768377488,3.5225940033580767,0.45303258760019655,3.2529507574145553,8.768403466823406e-05,0.0109375,1.0,0.004069467477440841,0.0,0.7357350243411024
F,event0.55,late_bump,windowed_sysid,291000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,0.55,0.45,,1.0,0.0,0.009369206785815664,0.023726016312620404,0.22244120871027476,3.616480882684825,0.46001650860066085,2.314617400632341,6.927125020830783e-05,0.009375000000000001,1.0,0.015268387393403467,0.0,0.4460490899665568
F,event0.55,late_bump,windowed_sysid,292000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,0.55,0.45,,1.0,0.0,0.012889794124331418,0.09290876642251442,0.18838675758856743,4.015483277363742,0.46584219648253716,3.6116412766111523,0.00011850986013235751,0.0125,1.0,0.03040684305684122,0.375,0.476758291402156
F,event0.55,late_bump,calibration_state,290000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,0.55,0.45,,1.0,0.0,0.0013326950062846482,0.005078814460425069,0.24063823879510887,3.0236012909673953,0.4361672856297941,1.4145424773932047,2.134258130802964e-05,0.0015625,1.0,0.001892734528695487,0.0,0.7357350243411024
F,event0.55,late_bump,calibration_state,291000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,0.55,0.45,,1.0,0.0,0.0017754681945721044,0.02192813882682423,0.2573334780692057,3.124747435772952,0.3147904497955437,1.299298047088057,1.1089572854834224e-05,0.0,1.0,0.001498685162550795,0.0,0.4460490899665568
F,event0.55,late_bump,calibration_state,292000,8,0.0012,0.0,0,0.0,0.0,1.0,0.0,0.925,14,0.55,0.45,,1.0,0.0,0.0019001817656249921,0.08758102500625725,0.2128862817031634,3.596080237833891,0.4247673467023546,1.3807826722645735,2.2620116198745636e-05,0.0015625,1.0,0.18525210241139775,2.875,0.476758291402156
