mode,controller,rows,episodes,success,final_error,tail_error,path_efficiency,total_command,calibration_error,condition,excitation,overshoot_rate,event_count,peak_event_error,recovery_steps,initial_to_final_drift,success_stderr
sinusoidal,nominal_offline,4,48,1.0,0.0014084585452791133,0.03082418439549893,0.19452802727720814,3.2680552916628423,0.3162300191547411,1.0,3.362708073134402e-05,0.0,0.0,0.0,nan,0.3886890138291907,0.0
sinusoidal,oracle,4,48,1.0,0.0012391199334483836,0.022948096703373194,0.20530817258343248,3.1224942231384145,0.0,1.1865714658282416,5.961952571226916e-06,0.0,0.0,0.0,nan,0.3886890138291907,0.0
sinusoidal,residual_bias,4,48,0.9375,0.016168033222656055,0.08014237529716467,0.19981616222334367,3.2222662949662824,0.3162300191547411,1.0,3.150268516786819e-05,0.0,0.0,0.0,nan,0.3886890138291907,0.046842115760252996
sinusoidal,robust_low_gain,4,48,0.45833333333333337,0.11986845293584339,0.21737321342162444,0.29768428986971324,2.1009477831586043,0.3162300191547411,1.0,2.408224150143852e-06,0.0,0.0,0.0,nan,0.3886890138291907,0.1379890704787458
sinusoidal,windowed_sysid,4,48,1.0,0.00764640730989362,0.01796822628688147,0.17653330695706265,3.6012226609299565,0.5185943667461136,2.9014400706572046,0.0001380983997668054,0.02369791666666667,0.0,0.0,nan,0.3886890138291907,0.0
slow_walk,calibration_state,4,48,1.0,0.0016264612138086588,0.038662351583243486,0.18861024192940626,3.2158902264730607,0.05505074114333972,1.1721609394222328,3.8142064196106315e-06,0.0,0.0,0.0,nan,0.08652897031226348,0.0
slow_walk,frozen_start_calibration,4,48,1.0,0.0016233235389922717,0.037774760482390694,0.18905890253601562,3.2099643188901656,0.08794965515948673,1.173203469900016,5.007322897637198e-06,0.0,0.0,0.0,nan,0.08652897031226348,0.0
slow_walk,nominal_offline,4,48,1.0,0.0017178408635208353,0.061322979947987404,0.1856458638719789,3.2645883892201812,0.27822667363485126,1.0,1.7064793354764395e-05,0.0,0.0,0.0,nan,0.08652897031226348,0.0
slow_walk,oracle,4,48,1.0,0.0016413615553171456,0.03914265091430723,0.1894892299398303,3.2021739347147724,0.0,1.1784505748341891,3.283196855651598e-06,0.0,0.0,0.0,nan,0.08652897031226348,0.0
slow_walk,residual_bias,4,48,0.9375,0.012984767239398464,0.09541042573736039,0.19022246750004537,3.2018436390586986,0.27822667363485126,1.0,1.3388743093698914e-05,0.0,0.0,0.0,nan,0.08652897031226348,0.046842115760252996
slow_walk,robust_low_gain,4,48,0.41666666666666663,0.1926389820953651,0.31706464319401967,0.2903991786813844,2.103358947153773,0.27822667363485126,1.0,2.0193416546055244e-06,0.0,0.0,0.0,nan,0.08652897031226348,0.13693477285592215
slow_walk,windowed_sysid,4,48,1.0,0.0018730340875456508,0.038081265833669664,0.16222003778261787,3.713224471945309,0.35929549150654755,3.490621359670496,9.633844492684215e-05,0.0125,0.0,0.0,nan,0.08652897031226348,0.0
static,calibration_state,4,48,1.0,0.001579287399959772,0.02618949932841934,0.2054083673152903,3.1295340759407426,0.02199217607647753,1.1989178768300133,2.4728330647798814e-06,0.0,0.0,0.0,nan,0.0,0.0
static,frozen_start_calibration,4,48,1.0,0.001572147067123002,0.026019577280261955,0.20730892855905986,3.104680694598356,0.0,1.2041124743653173,1.6466240831331742e-06,0.0,0.0,0.0,nan,0.0,0.0
static,nominal_offline,4,48,1.0,0.002244804270895437,0.05004668215061906,0.19802568336040022,3.2471949767107717,0.3543226455164662,1.0,3.1549784320107077e-05,0.0,0.0,0.0,nan,0.0,0.0
static,oracle,4,48,1.0,0.001572147067123002,0.026019577280261955,0.20730892855905986,3.104680694598356,0.0,1.2041124743653173,1.6466240831331742e-06,0.0,0.0,0.0,nan,0.0,0.0
static,residual_bias,4,48,0.9791666666666666,0.013677067790823939,0.0758963008610634,0.20381464026181786,3.176001258475104,0.3543226455164662,1.0,2.973435649763693e-05,0.0,0.0,0.0,nan,0.0,0.019946398078257047
static,robust_low_gain,4,48,0.24999999999999997,0.1797562716237647,0.3115910733295393,0.2953283384180609,2.1460212934363128,0.3543226455164662,1.0,2.3583352159173688e-06,0.0,0.0,0.0,nan,0.0,0.12341640855398453
static,windowed_sysid,4,48,1.0,0.0029996678502266097,0.02558187546159528,0.17722010556014806,3.5992958023979136,0.3657097863741475,3.2538716803000387,7.853383502525657e-05,0.01171875,0.0,0.0,nan,0.0,0.0
